idLeitura,tipoMaquina,descricao,valor,metrica,tempoLeitura
136,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:46"
137,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:46"
138,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:46"
139,IOT,"Core 1",75.00,°C,"2020-10-16 13:14:46"
140,IOT,"Core 1",100.00,%,"2020-10-16 13:14:46"
141,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:46"
142,IOT,"Core 2",76.00,°C,"2020-10-16 13:14:46"
143,IOT,"Core 2",100.00,%,"2020-10-16 13:14:46"
144,IOT,"Memoria uso %",79.30,%,"2020-10-16 13:14:52"
145,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:14:52"
146,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:14:52"
147,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:52"
148,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:52"
149,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:52"
150,IOT,"Core 1",75.00,°C,"2020-10-16 13:14:52"
151,IOT,"Core 1",100.00,%,"2020-10-16 13:14:52"
152,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:52"
153,IOT,"Core 2",76.00,°C,"2020-10-16 13:14:52"
154,IOT,"Core 2",100.00,%,"2020-10-16 13:14:52"
155,IOT,"Memoria uso %",79.90,%,"2020-10-16 13:14:57"
156,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:14:57"
157,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:14:57"
158,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:57"
159,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:57"
160,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:57"
161,IOT,"Core 1",74.00,°C,"2020-10-16 13:14:57"
162,IOT,"Core 1",100.00,%,"2020-10-16 13:14:57"
163,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:57"
164,IOT,"Core 2",76.00,°C,"2020-10-16 13:14:57"
165,IOT,"Core 2",100.00,%,"2020-10-16 13:14:57"
166,IOT,"Memoria uso %",79.70,%,"2020-10-16 13:15:02"
167,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:02"
168,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:02"
169,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:02"
170,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:02"
171,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:15:02"
172,IOT,"Core 1",75.00,°C,"2020-10-16 13:15:02"
173,IOT,"Core 1",100.00,%,"2020-10-16 13:15:02"
174,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:15:02"
175,IOT,"Core 2",77.00,°C,"2020-10-16 13:15:02"
176,IOT,"Core 2",100.00,%,"2020-10-16 13:15:02"
177,IOT,"Memoria uso %",79.60,%,"2020-10-16 13:15:07"
178,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:07"
179,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:07"
180,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:07"
181,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:07"
182,IOT,"Core 1",1795.90,MHz,"2020-10-16 13:15:07"
183,IOT,"Core 1",72.00,°C,"2020-10-16 13:15:07"
184,IOT,"Core 1",78.90,%,"2020-10-16 13:15:07"
185,IOT,"Core 2",1795.90,MHz,"2020-10-16 13:15:07"
186,IOT,"Core 2",71.00,°C,"2020-10-16 13:15:07"
187,IOT,"Core 2",81.30,%,"2020-10-16 13:15:07"
188,IOT,"Memoria uso %",79.20,%,"2020-10-16 13:15:12"
189,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:12"
190,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:12"
191,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:12"
192,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:12"
193,IOT,"Core 1",1197.30,MHz,"2020-10-16 13:15:12"
194,IOT,"Core 1",69.00,°C,"2020-10-16 13:15:12"
195,IOT,"Core 1",46.90,%,"2020-10-16 13:15:12"
196,IOT,"Core 2",1197.30,MHz,"2020-10-16 13:15:12"
197,IOT,"Core 2",68.00,°C,"2020-10-16 13:15:12"
198,IOT,"Core 2",51.60,%,"2020-10-16 13:15:12"
199,IOT,"Memoria uso %",79.90,%,"2020-10-16 13:15:17"
200,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:17"
201,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:17"
202,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:17"
203,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:17"
204,IOT,"Core 1",1995.50,MHz,"2020-10-16 13:15:17"
205,IOT,"Core 1",68.00,°C,"2020-10-16 13:15:17"
206,IOT,"Core 1",31.30,%,"2020-10-16 13:15:17"
207,IOT,"Core 2",1995.50,MHz,"2020-10-16 13:15:17"
208,IOT,"Core 2",69.00,°C,"2020-10-16 13:15:17"
209,IOT,"Core 2",34.40,%,"2020-10-16 13:15:17"
210,IOT,"Memoria uso %",79.50,%,"2020-10-16 13:15:22"
211,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:22"
212,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:22"
213,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:22"
214,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:22"
215,IOT,"Core 1",1197.30,MHz,"2020-10-16 13:15:22"
216,IOT,"Core 1",67.00,°C,"2020-10-16 13:15:22"
217,IOT,"Core 1",31.30,%,"2020-10-16 13:15:22"
218,IOT,"Core 2",1197.30,MHz,"2020-10-16 13:15:22"
219,IOT,"Core 2",67.00,°C,"2020-10-16 13:15:22"
220,IOT,"Core 2",35.20,%,"2020-10-16 13:15:22"
221,IOT,"Memoria uso %",79.70,%,"2020-10-16 13:15:27"
222,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:27"
223,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:27"
224,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:27"
225,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:27"
226,IOT,"Core 1",1197.30,MHz,"2020-10-16 13:15:27"
227,IOT,"Core 1",66.00,°C,"2020-10-16 13:15:27"
228,IOT,"Core 1",37.10,%,"2020-10-16 13:15:27"
229,IOT,"Core 2",1197.30,MHz,"2020-10-16 13:15:27"
230,IOT,"Core 2",66.00,°C,"2020-10-16 13:15:27"
231,IOT,"Core 2",40.60,%,"2020-10-16 13:15:27"
232,IOT,"Memoria uso %",79.80,%,"2020-10-16 13:15:32"
233,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:32"
234,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:32"
235,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:32"
236,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:32"
237,IOT,"Core 1",1197.30,MHz,"2020-10-16 13:15:32"
238,IOT,"Core 1",67.00,°C,"2020-10-16 13:15:32"
239,IOT,"Core 1",54.30,%,"2020-10-16 13:15:32"
240,IOT,"Core 2",1197.30,MHz,"2020-10-16 13:15:32"
241,IOT,"Core 2",66.00,°C,"2020-10-16 13:15:32"
242,IOT,"Core 2",53.90,%,"2020-10-16 13:15:32"
243,IOT,"Memoria uso %",80.20,%,"2020-10-16 13:15:38"
244,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:15:38"
245,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:15:38"
246,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:38"
247,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:38"
248,IOT,"Core 1",1995.50,MHz,"2020-10-16 13:15:38"
249,IOT,"Core 1",66.00,°C,"2020-10-16 13:15:38"
250,IOT,"Core 1",31.30,%,"2020-10-16 13:15:38"
251,IOT,"Core 2",1995.50,MHz,"2020-10-16 13:15:38"
252,IOT,"Core 2",66.00,°C,"2020-10-16 13:15:38"
253,IOT,"Core 2",33.60,%,"2020-10-16 13:15:38"
254,IOT,"Memoria uso %",82.80,%,"2020-10-16 13:15:43"
255,IOT,"Memoria uso GB",6.50,GB,"2020-10-16 13:15:43"
256,IOT,"Memoria livre GB",1.40,GB,"2020-10-16 13:15:43"
257,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:43"
258,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:43"
259,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:15:43"
260,IOT,"Core 1",71.00,°C,"2020-10-16 13:15:43"
261,IOT,"Core 1",75.40,%,"2020-10-16 13:15:43"
262,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:15:43"
263,IOT,"Core 2",70.00,°C,"2020-10-16 13:15:43"
264,IOT,"Core 2",74.20,%,"2020-10-16 13:15:43"
265,IOT,"Memoria uso %",84.30,%,"2020-10-16 13:15:48"
266,IOT,"Memoria uso GB",6.70,GB,"2020-10-16 13:15:48"
267,IOT,"Memoria livre GB",1.20,GB,"2020-10-16 13:15:48"
268,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:48"
269,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:48"
270,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:15:48"
271,IOT,"Core 1",72.00,°C,"2020-10-16 13:15:48"
272,IOT,"Core 1",82.80,%,"2020-10-16 13:15:48"
273,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:15:48"
274,IOT,"Core 2",73.00,°C,"2020-10-16 13:15:48"
275,IOT,"Core 2",82.00,%,"2020-10-16 13:15:48"
276,IOT,"Memoria uso %",84.60,%,"2020-10-16 13:15:53"
277,IOT,"Memoria uso GB",6.70,GB,"2020-10-16 13:15:53"
278,IOT,"Memoria livre GB",1.20,GB,"2020-10-16 13:15:53"
279,IOT,"Disco uso %",84.10,%,"2020-10-16 13:15:53"
280,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:15:53"
281,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:15:53"
282,IOT,"Core 1",68.00,°C,"2020-10-16 13:15:53"
283,IOT,"Core 1",32.40,%,"2020-10-16 13:15:53"
284,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:15:53"
285,IOT,"Core 2",66.00,°C,"2020-10-16 13:15:53"
286,IOT,"Core 2",32.80,%,"2020-10-16 13:15:53"
